entity_id,name,type,display_id
"4","Bonfire Damage","6","0"
"31","Old Lion Statue","2","6"
"32","Sunken Chest","3","10"
"33","Locked Chest","2","1"
"34","Old Jug","2","7"
"35","Captain's Footlocker","2","8"
"36","Broken Barrel","2","9"
"41","Ambassador's Locker","3","10"
"47","Wanted!","2","17"
"52","Fall of Gurubashi","3","5"
"54","The Emperor's Tomb","3","5"
"55","A half-eaten body","2","14"
"56","Rolf's corpse","2","14"
"57","Bloodscalp Lore Tablet","3","5"
"58","Gri'lek the Wanderer","3","5"
"60","Wanted: Gath'Ilzogg","2","2"
"61","A Weathered Grave","2","12"
"68","Wanted Poster","2","17"
"73","Treasure Chest","3","10"
"74","Treasure Chest","3","1"
"75","Wooden Chest","3","1"
"76","An Empty Jar","2","21"
"80","Old Coast Road","5","22"
"81","Sentinel Hill","5","22"
"82","Elwynn Forest","5","22"
"83","Jangolode Mine","5","22"
"84","Old Coast Road","5","22"
"85","Duskwood","5","22"
"86","Elwynn Forest","5","22"
"87","Moonbrook","5","22"
"88","Duskwood","5","22"
"89","Northshire Abbey","5","26"
"90","Stormwind City","5","26"
"91","Northshire Abbey","5","26"
"92","Stormwind City","5","26"
"93","Westbrook Garrison","5","26"
"94","Westfall","5","26"
"95","Eastvale Logging Camp","5","26"
"96","Redridge","5","26"
"97","Goldshire","5","26"
"98","Stormwind City","5","26"
"99","Redridge","5","26"
"100","Eastvale Logging Camp","5","26"
"101","Stranglethorn","5","27"
"102","Raven Hill","5","27"
"103","Deadwind Pass","5","27"
"104","Redridge","5","27"
"105","Stranglethorn","5","27"
"106","Westfall","5","27"
"107","Darkshire","5","27"
"108","Raven Hill","5","27"
"109","Westfall","5","27"
"110","Stranglethorn","5","27"
"111","Raven Hill","5","27"
"112","Darkshire","5","27"
"113","Duskwood","5","26"
"114","Lakeshire","5","26"
"115","Elwynn","5","26"
"116","Stonewatch Keep","5","26"
"117","Lakeshire","5","26"
"118","Stonewatch Keep","5","26"
"119","Abercrombie's Crate","3","18"
"121","Duskwood","5","22"
"122","Sentinel Hill","5","22"
"123","Elwynn Forest","5","22"
"124","Moonbrook","5","22"
"129","Naxx Teleporter trap","6","0"
"252","I Should not be here B","3","28"
"256","Wanted!","2","17"
"257","Suspicious Barrel","2","30"
"259","Half-buried Barrel","2","32"
"261","Damaged Crate","2","31"
"263","Kurzen Supplies","3","36"
"264","Kurzen Supplies","3","36"
"267","Stasis Trap","6","28"
"269","Guarded Thunder Ale Barrel","2","32"
"270","Unguarded Thunder Ale Barrel","2","32"
"271","Miners' League Crates","3","36"
"272","MacGrann's Meat Locker","3","1"
"275","Bellowfiz Bubbles","5","42"
"276","Shimmerweed Basket","3","644"
"287","Bookie Herod's Records","2","43"
"288","Bookie Herod's Strongbox","2","1"
"290","Furlbrow's Wardrobe","3","4"
"298","Thelsamar","5","26"
"299","Searing Gorge","5","26"
"301","Wetlands","5","26"
"302","Dun Morogh","5","26"
"303","Dun Morogh","5","26"
"304","Wetlands","5","26"
"305","Thelsamar","5","26"
"306","Thelsamar","5","26"
"307","Searing Gorge","5","26"
"308","Dun Morogh","5","26"
"309","Anvilmar","5","26"
"310","Ironforge","5","26"
"311","Loch Modan","5","26"
"312","Kharanos","5","26"
"313","Anvilmar","5","26"
"314","Ironforge","5","26"
"315","Ironforge","5","26"
"316","Kharanos","5","26"
"317","Anvilmar","5","26"
"318","Loch Modan","5","26"
"321","Tear of Tilloa","3","63"
"323","Arcanite Lode","3","48"
"324","Small Thorium Vein","50","3951"
"331","Loose Soil","3","49"
"333","Ancient Relic","3","52"
"334","Ancient Relic","3","53"
"369","Thunder Ale","5","56"
"372","Battleground Shield","5","58"
"375","Tirisfal Pumpkin","3","60"
"376","Dun Modr","5","22"
"377","Menethil","5","22"
"378","Loch Modan","5","22"
"379","Loch Modan","5","22"
"380","Menethil","5","22"
"381","Grim Batol","5","22"
"382","Dun Modr","5","22"
"386","Metal Mace","5","70"
"387","Loch Modan","5","22"
"388","Arathi Highlands","5","22"
"389","Dun Modr","5","22"
"759","The Holy Spring","3","90"
"965","Black Smoke - scale 2","5","95"
"1162","Menethil Harbor","5","22"
"1165","Gunther's Books","3","43"
"1166","Alexston's Chest","3","10"
"1557","Lillith's Dinner Table","10","151"
"1558","Candle of Beckoning","5","100"
"1560","Storage Chest","3","1"
"1561","Sealed Crate","2","31"
"1562","Marshal Haggard's Chest","3","41"
"1564","Ironforge","5","26"
"1565","Loch Modan","5","26"
"1566","Kharanos","5","26"
"1567","Loch Modan","5","26"
"1568","Loch Modan","5","26"
"1569","Ironforge","5","26"
"1570","Kharanos","5","26"
"1571","Dusty Spellbooks","3","107"
"1572","Kharanos","5","26"
"1573","Kharanos","5","26"
"1585","Explosive Charge","2","112"
"1586","Crate of Candles","3","113"
"1587","Turkey Leg","5","114"
"1594","Berard's Bookshelf","3","137"
"1595","Westbrook Garrison","5","26"
"1596","Westfall","5","26"
"1597","Stormwind City","5","26"
"1598","Goldshire","5","26"
"1603","Little Flame Emitter","5","133"
"1604","Black Smoke Emitter","5","45"
"1605","White Smoke Emitter","5","95"
"1607","Big Flame Emitter","5","133"
"1609","Dragonmaw Catapult","2","131"
"1610","Incendicite Mineral Vein","3","384"
"1617","Silverleaf","50","270"
"1618","Peacebloom","50","269"
"1619","Earthroot","50","414"
"1620","Mageroyal","50","268"
"1621","Briarthorn","50","271"
"1622","Bruiseweed","50","358"
"1623","Wild Steelbloom","50","371"
"1624","Kingsblood","50","320"
"1627","Dalaran Crate","2","31"
"1628","Grave Moss","50","357"
"1630","Brill","5","27"
"1633","Brill","5","27"
"1634","Agamand Mills","5","27"
"1639","Deathknell","5","27"
"1643","Brill","5","27"
"1644","Agamand Mills","5","27"
"1645","Deathknell","5","27"
"1646","Silverpine","5","27"
"1647","Deathknell","5","27"
"1648","Agamand Mills","5","27"
"1649","Monastery","5","27"
"1650","Plaguelands","5","27"
"1651","Deathknell","5","27"
"1652","Brill","5","27"
"1653","Silverpine","5","27"
"1654","Silverpine","5","27"
"1655","Monastery","5","27"
"1656","Plaguelands","5","27"
"1657","Monastery","5","27"
